reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
prefix,tos,http://iflastandards.info/ns/unimarc/terms/tos#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6453,tos:a,1,,,"full score",score,,a,,,"Score format consisting of a series of staves on which all the instrumental and/or vocal parts of a musical work are written, one under the other in vertical alignment, so that they can be read simultaneously",,,,,,,,,,,,,,,,,,,,,,,,
6454,tos:b,1,,,"score (miniature or study size)","pocket score",,b,,,"A musical score not primarily intended for performance use, with the notation and/or text reduced in size.",,,,,,,,,,,,,,,,,,,,,,,,
6455,tos:c,1,,,"vocal score, accompaniment reduced for keyboard","chorus score",,c,,,"Score where accompaniment is reduced for keyboard instrument(s), and the voice and/or instrumental solo part(s) remain unaltered.",,,,,,,,,,,,,,,,,,,,,,,,
6456,tos:d,1,,,"voice score, chorus score, accompaniment has been dropped","choral score",,d,,,"Score where the accompaniment to vocal or choral parts has been omitted and only the voice parts remain.",,,,,,,,,,,,,,,,,,,,,,,,
6457,tos:e,1,,,"condensed score, piano conductor score",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6458,tos:f,1,,,"graphic score","conductor score",,f,,,"Score format presenting only the principal musical parts on a minimum number of staves, and generally organized by instrumental sections. A conductor score is a performance part for a particular instrument of an ensemble work to which cues have been added for the other instruments to permit the performer of the part also to conduct the performance.",,,,,,,,,,,,,,,,,,,,,,,,
6459,tos:g,1,,,"close score","short score",,g,,,"Score format giving all the parts on a minimum number of staves, normally two, as with hymnals.",,,,,,,,,,,,,,,,,,,,,,,,
6460,tos:h,1,,,tablature,"finger notation",,h,,,"Score consisting of a music notation where letters, numbers or graphic symbols indicate the finger position on the instrument or the name of the notes.",,,,,,,,,,,,,,,,,,,,,,,,
6461,tos:i,1,,,choir-book,,,i,,,"Score format giving the different vocal parts on two facing pages of the book.",,,,,,,,,,,,,,,,,,,,,,,,
6462,tos:j,1,,,"compressed score",,,j,,,"Score of only voices and continuo, omitting the other instruments.",,,,,,,,,,,,,,,,,,,,,,,,
6463,tos:k,1,,,pseudo-score,,,k,,,"Score without vertical coincidence of voices.",,,,,,,,,,,,,,,,,,,,,,,,
6464,tos:l,1,,,"solo part",,,l,,,"Score consisting of a part containing only one solo for a voice of a choir",,,,,,,,,,,,,,,,,,,,,,,,
6470,tos:m,1,,,"multiple formats",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6471,tos:n,1,,,"score with only homogeneous groups of instruments of the orchestra",,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,
6465,tos:o,1,,,"condensed score with text and chord symbols","text and chords",,o,,,"Score frequently used in modern pop music, consisting generally in a melodic line with letters and/or graphic symbols representing chords or finger positions on the guitar.",,,,,,,,,,,,,,,,,,,,,,,,
6466,tos:p,1,,,"table book",,,p,,,"Score consisting of parts written with different orientation on facing pages, so as to enable reading by players standing around a table.",,,,,,,,,,,,,,,,,,,,,,,,
6467,tos:u,1,,,unknown,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,
6468,tos:x,1,,,"not applicable",,,x,,,"Not printed or manuscript music.",,,,,,,,,,,,,,,,,,,,,,,,
6469,tos:z,1,,,other,,,z,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
